שם  הרשות,כתובת הקלפי,מקום קלפי,הוראות גישה לקלפי,קלפי נגישה,כתובת מלאה
אילת,רחוב כרמל,קרית החינוך אשכולות - סלינה,מתחם אשכולות - כיתה מס' 1 ,כן,"אילת, רחוב כרמל"
אשקלון,הגבורה 7 ,מבנה בית  יד לבנים,,כן,"אשקלון, הגבורה 7 "
באר שבע,כיכר מנחם בגין ,אולם מועצת העיר בניין העירייה ,,כן,"באר שבע, כיכר מנחם בגין "
בת ים,הבנים 5,מרכז קהילתי עופר,,,"בת ים, הבנים 5"
הגליל העליון-אילת השחר,"קיבוץ איילת השחר, ישראל",בי''ס יסודי מבוא הגליל,,,"הגליל העליון-אילת השחר, קיבוץ איילת השחר, ישראל"
הרצליה,שדרות בן גוריון 22,בניין העירייה,,כן,"הרצליה, שדרות בן גוריון 22"
זכרון יעקב,שירה 5 ,"מתנ""ס שירה חדר מס 4 קומה 2",יש לעלות במעלית לקומה 2,כן,"זכרון יעקב, שירה 5 "
חדרה,השיזף 7,"קומה 2, חדר מלכה מרכז פנאי בית אליעזר",יש לעלות במעלית לקומה 2,כן,"חדרה, השיזף 7"
חיפה,המסגר 54,מרכז הנוער רסלר חדר טלוויזיה ,קומת כניסה,,"חיפה, המסגר 54"
חיפה,המסגר 54,מרכז הנוער רסלר חדר יצירה ,קומת כניסה,,"חיפה, המסגר 54"
חיפה,בודנהיימר 30,מרכז רות כיתה 1,,,"חיפה, בודנהיימר 30"
חיפה,בודנהיימר 30,מרכז רות כיתה 2,,,"חיפה, בודנהיימר 30"
חצור הגלילית,יצחק שמיר 1,חדר ישיבות  משאבי אנוש משרדי המועצה,,,"חצור הגלילית, יצחק שמיר 1"
חצור הגלילית,הדוכיפת 39,מרכז מורנו-מועדון נוער,,,"חצור הגלילית, הדוכיפת 39"
טבריה,הנשיא וייצמן 26,בי''ס למוזיקה (וייצמן 26 שיכון ד)בית התזמורת,,,"טבריה, הנשיא וייצמן 26"
טבריה,טל 1 בית גינסבורג,מרכז קהילתי גינסבורג,,,"טבריה, טל 1 בית גינסבורג"
טבריה,"רחוב מעלה קק""ל 4",מרכז פסגה למורים,,,"טבריה, רחוב מעלה קק""ל 4"
טבריה,שקד 26,מרכז צעירים,,,"טבריה, שקד 26"
טבריה,אלחדיף 23,לשכת התעסוקה לשעבר,צמוד למשרד הפנים הישן,,"טבריה, אלחדיף 23"
