שם  הרשות,כתובת הקלפי,מקום קלפי,הוראות גישה לקלפי,קלפי נגישה,כתובת מלאה,latitude,longitude
אילת,רחוב כרמל,קרית החינוך אשכולות - סלינה,מתחם אשכולות - כיתה מס' 1 ,כן,"אילת, רחוב כרמל",,
אשקלון,הגבורה 7 ,מבנה בית  יד לבנים,,כן,"אשקלון, הגבורה 7 ",31.665156440834917,34.564206376030974
באר שבע,כיכר מנחם בגין ,אולם מועצת העיר בניין העירייה ,,כן,"באר שבע, כיכר מנחם בגין ",31.249195,34.80024564862288
בת ים,הבנים 5,מרכז קהילתי עופר,,,"בת ים, הבנים 5",32.00692562066245,34.75289953090584
הגליל העליון-אילת השחר,"קיבוץ איילת השחר, ישראל",בי''ס יסודי מבוא הגליל,,,"הגליל העליון-אילת השחר, קיבוץ איילת השחר, ישראל",,
הרצליה,שדרות בן גוריון 22,בניין העירייה,,כן,"הרצליה, שדרות בן גוריון 22",,
זכרון יעקב,שירה 5 ,"מתנ""ס שירה חדר מס 4 קומה 2",יש לעלות במעלית לקומה 2,כן,"זכרון יעקב, שירה 5 ",32.56456694097531,34.95693773370139
חדרה,השיזף 7,"קומה 2, חדר מלכה מרכז פנאי בית אליעזר",יש לעלות במעלית לקומה 2,כן,"חדרה, השיזף 7",32.42190477238033,34.94897552158103
חיפה,המסגר 54,מרכז הנוער רסלר חדר טלוויזיה ,קומת כניסה,,"חיפה, המסגר 54",32.81137730531476,35.063175703040336
חיפה,המסגר 54,מרכז הנוער רסלר חדר יצירה ,קומת כניסה,,"חיפה, המסגר 54",32.81137730531476,35.063175703040336
חיפה,בודנהיימר 30,מרכז רות כיתה 1,,,"חיפה, בודנהיימר 30",32.81836490511275,34.966064888861055
חיפה,בודנהיימר 30,מרכז רות כיתה 2,,,"חיפה, בודנהיימר 30",32.81836490511275,34.966064888861055
חצור הגלילית,יצחק שמיר 1,חדר ישיבות  משאבי אנוש משרדי המועצה,,,"חצור הגלילית, יצחק שמיר 1",32.97665870661282,35.541922021882876
חצור הגלילית,הדוכיפת 39,מרכז מורנו-מועדון נוער,,,"חצור הגלילית, הדוכיפת 39",,
טבריה,הנשיא וייצמן 26,בי''ס למוזיקה (וייצמן 26 שיכון ד)בית התזמורת,,,"טבריה, הנשיא וייצמן 26",32.77994566425912,35.51249273744428
טבריה,טל 1 בית גינסבורג,מרכז קהילתי גינסבורג,,,"טבריה, טל 1 בית גינסבורג",,
טבריה,"רחוב מעלה קק""ל 4",מרכז פסגה למורים,,,"טבריה, רחוב מעלה קק""ל 4",,
טבריה,שקד 26,מרכז צעירים,,,"טבריה, שקד 26",32.78616946086266,35.52238551328883
טבריה,אלחדיף 23,לשכת התעסוקה לשעבר,צמוד למשרד הפנים הישן,,"טבריה, אלחדיף 23",32.793009505993155,35.53434192416977
טירת כרמל,ז'בוטינסקי 43,"מתנ""ס קהילתי ע""ש פירסט -חדר יצירה",קומת כניסה - חדר יצירה,כן,"טירת כרמל, ז'בוטינסקי 43",32.76040639365976,34.96544188318633
יסוד המעלה,האשכולות 1,מתנ''ס יסוד המעלה,,,"יסוד המעלה, האשכולות 1",,
ירושלים,"מלון דן ירושלים, רחוב לח""י",אולם אוריינט בכניסה למלון,בכניסה למלון,כן,"ירושלים, מלון דן ירושלים, רחוב לח""י",,
ירושלים,"עיריית ירושלים, כיכר ספרא","בניין 3 קומה מינוס 1, אולם מספר 5",בניין 3 קומה מינוס 1,כן,"ירושלים, עיריית ירושלים, כיכר ספרא",,
כפר כמא,מועצה מקומית כפר כמא,מועדון וותיקים,מול בניין המועצה,,"כפר כמא, מועצה מקומית כפר כמא",32.7225041,35.4396131
כפר סבא,אריק לביא 4 ,מרכז קהילתי,,,"כפר סבא, אריק לביא 4 ",32.18787705,34.896631
כרמיאל,"צה""ל 103",בית המתנדב חדר open spacce,,כן,"כרמיאל, צה""ל 103",32.91709296281296,35.30610160551579
מגדל,נוף הארבל 1,מבנה המועצה,,כן,"מגדל, נוף הארבל 1",32.83944465625814,35.500123249827745
מגדל,השיזף 13,"מתנ""ס",,,"מגדל, השיזף 13",32.83804790148297,35.50098867390932
מגידו,קיבוץ רמת השופט,חדר ישיבות קומת כניסה (משרדי המועצה),,כן,"מגידו, קיבוץ רמת השופט",,
"מוא""ז גולן",מושב רמות,מועדון חברים,,כן,"מוא""ז גולן, מושב רמות",,
"מוא""ז גולן",קיבוץ מרום גולן,מבנה ליד חדר האוכל,,,"מוא""ז גולן, קיבוץ מרום גולן",,
"מוא""ז הגלבוע",קיבוץ בית אלפא,מועדון לחבר - קיבוץ בית אלפא,,כן,"מוא""ז הגלבוע, קיבוץ בית אלפא",,
"מוא""ז הגליל התחתון",קיבוץ לביא,מועדון /בית העם,,כן,"מוא""ז הגליל התחתון, קיבוץ לביא",,
"מוא""ז חבל אילות",מועצה אזורית חבל אילות,"מתנ""ס חבל אילות",,כן,"מוא""ז חבל אילות, מועצה אזורית חבל אילות",,
"מוא""ז חוף הכרמל",עין כרמל,אולם ישיבות קומה 2 (משרדי המועצה),יש לעלות במעלית לקומה 2,כן,"מוא""ז חוף הכרמל, עין כרמל",,
"מוא""ז חוף השרון","מועצה אזורית חוף השרון, שפיים, ",בניין המועצה האזורית חוף השרון,,כן,"מוא""ז חוף השרון, מועצה אזורית חוף השרון, שפיים, ",,
